"Player Details","","","","","","Weeks","","","","","","","","","","","","","","","","","","Fantasy Points",""
"Rank","Name","Team","POS","G","Season","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","FP/G","FP"
"112","Emeka Egbuka","TB","WR","17","2025","23.6","12.9","14.5","20.1","31.3","4.4","9.8","6.5","","23.5","9.0","6.2","8.2","3.5","10.4","5.0","5.0","1.8","11.5","195.7"
"113","Terry McLaurin","WAS","WR","10","2025","4.7","9.8","10.4","","","","","14.4","","","","","22.6","7.1","15.9","8.3","11.3","9.7","11.4","114.2"
"114","Travis Kelce","KC","TE","17","2025","12.7","10.1","6.6","9.8","19.1","13.8","8.4","21.9","12.6","","24.1","8.4","15.5","1.8","14.0","1.6","8.6","4.2","11.4","193.2"
"115","Jake Browning","CIN","QB","5","2025","","20.7","7.9","5.4","22.1","","","","","","","0.6","","","","","","","11.3","56.7"
"116","Zach Charbonnet","SEA","RB","16","2025","10.7","1.0","","12.4","11.8","4.7","19.5","","5.6","14.3","6.7","9.5","11.2","8.6","3.1","17.4","26.2","18.7","11.3","181.4"
"117","Ladd McConkey","LAC","WR","16","2025","13.4","9.8","8.1","2.1","14.9","23.0","15.7","20.8","9.6","20.7","4.3","","13.9","2.2","4.0","14.3","4.1","","11.3","180.9"
"118","Kenneth Walker","SEA","RB","17","2025","5.4","18.8","18.0","12.0","9.6","4.7","6.6","","8.1","8.0","20.1","13.1","10.4","3.8","2.9","25.4","7.7","17.3","11.3","191.9"
"119","Jake Ferguson","DAL","TE","17","2025","7.3","16.8","21.2","17.0","23.9","12.3","21.9","0.0","9.0","","11.6","11.1","8.6","11.8","3.6","4.9","7.6","1.5","11.2","190.1"
"120","Tony Pollard","TEN","RB","17","2025","8.9","9.2","13.9","10.6","15.8","6.7","12.1","6.3","7.8","","5.6","8.1","6.3","28.1","18.2","10.2","11.5","9.5","11.1","188.8"
"121","James Conner","ARZ","RB","3","2025","14.4","12.2","6.7","","","","","","","","","","","","","","","","11.1","33.3"
"122","Tyler Warren","IND","TE","17","2025","14.9","11.9","6.8","18.3","14.4","18.3","16.9","9.3","7.6","17.9","","9.5","11.2","3.7","4.9","6.0","9.3","7.6","11.1","188.5"
"123","Jakobi Meyers","LV, JAX","WR","16","2025","17.7","12.8","9.3","7.0","7.2","7.9","","","6.3","7.1","11.4","15.0","21.3","14.8","12.1","8.6","8.9","9.4","11.1","176.8"
"124","Kirk Cousins","ATL","QB","10","2025","","","1.2","","","","","7.1","","","2.1","15.5","13.4","4.5","26.9","19.6","9.1","10.2","11.0","109.5"
"125","Tyrod Taylor","NYJ","QB","6","2025","","8.3","18.7","","","","4.1","","","","","13.8","21.3","-0.8","","","","","10.9","65.5"
"126","Phil Mafah","DAL","RB","1","2025","","","","","","","","","","","","","","","","","","10.9","10.9","10.9"
"127","Parker Washington","JAX","WR","16","2025","0.0","12.6","7.4","-0.1","9.6","4.9","10.2","","17.0","11.9","4.0","18.1","3.6","","8.3","26.5","19.0","19.7","10.8","172.7"
"128","Tyrone Tracy","NYG","RB","15","2025","5.5","9.1","5.6","","","0.6","10.6","7.3","6.7","8.1","17.9","16.0","4.3","","24.7","9.8","6.7","28.9","10.8","161.8"
"129","Keenan Allen","LAC","WR","17","2025","19.8","17.1","19.5","8.7","10.8","6.7","28.9","8.4","6.1","3.9","9.3","","7.0","5.2","8.6","9.4","2.7","10.6","10.7","182.7"
"130","Juwan Johnson","NO","TE","17","2025","15.6","15.9","11.1","5.8","3.7","2.5","12.9","10.3","12.1","19.2","","10.6","8.9","7.8","7.0","16.9","13.5","8.1","10.7","181.9"
"131","Marvin Harrison","ARZ","WR","12","2025","18.1","4.7","7.4","18.6","13.8","5.2","7.8","","22.6","14.3","","","12.9","","","2.4","0.0","","10.7","127.8"
"132","Mike Evans","TB","WR","8","2025","10.1","10.6","13.3","","","","0.0","","","","","","","","19.2","14.1","12.1","5.4","10.6","84.8"
"133","Hunter Henry","NE","TE","17","2025","10.6","1.9","29.0","11.9","6.6","5.7","7.3","7.7","9.1","1.9","8.5","24.5","11.3","","2.8","15.5","13.9","10.6","10.5","178.8"
"134","Dalton Kincaid","BUF","TE","12","2025","14.8","7.7","17.6","9.8","16.8","","","3.3","22.1","5.7","","","","14.1","6.4","0.0","","7.8","10.5","126.1"
"135","Troy Franklin","DEN","WR","17","2025","8.4","24.0","2.8","9.5","8.5","4.1","12.9","26.9","8.3","15.0","12.4","","4.1","4.1","20.8","10.6","5.7","0.0","10.5","178.1"
"136","Khalil Shakir","BUF","WR","16","2025","12.4","2.2","14.5","17.9","11.0","6.3","","20.8","11.3","12.8","0.7","18.0","1.5","9.6","11.5","7.4","9.5","","10.5","167.4"
"137","Dalton Schultz","HST","TE","17","2025","5.8","5.9","8.9","8.0","11.0","","18.8","4.4","13.7","18.3","11.1","1.8","12.5","5.2","21.6","14.5","4.9","11.3","10.5","177.7"
"138","Romeo Doubs","GB","WR","16","2025","8.8","11.8","4.5","29.8","","10.5","13.2","9.4","16.1","1.5","9.3","4.3","12.0","0.0","5.6","19.4","9.2","","10.3","165.4"
"139","Colston Loveland","CHI","TE","16","2025","3.2","0.0","4.1","","","3.1","5.4","6.8","29.8","9.5","7.0","14.9","5.8","12.9","10.1","6.0","21.4","25.1","10.3","165.1"
"140","DJ Moore","CHI","WR","17","2025","9.6","9.6","12.8","7.8","","8.2","8.2","11.6","23.0","0.0","3.1","23.4","4.7","0.6","22.9","21.9","1.7","2.1","10.1","171.2"
"141","Aaron Jones","MIN","RB","12","2025","15.7","2.3","","","","","","5.0","11.8","15.9","11.1","8.7","5.5","7.6","9.5","11.3","15.3","","10.0","119.7"
"142","Brian Thomas","JAX","WR","14","2025","9.0","8.9","7.5","10.6","12.0","23.0","6.1","","8.5","","","","4.8","11.7","17.1","3.8","7.9","7.9","9.9","138.8"
"143","David Montgomery","DET","RB","17","2025","8.3","13.1","29.4","1.2","18.2","8.1","5.9","","12.0","10.1","4.7","6.7","12.8","14.3","9.2","1.4","6.0","6.5","9.9","167.9"
"144","Darren Waller","MIA","TE","9","2025","","","","17.7","18.8","9.2","0.0","","","","","","6.7","2.7","25.6","7.0","1.0","","9.9","88.7"
"145","Ricky Pearsall","SF","WR","9","2025","14.8","9.2","19.7","8.6","","","","","","","1.0","2.8","3.4","","15.6","","13.5","","9.8","88.6"
"146","Brenton Strange","JAX","TE","12","2025","9.9","4.7","12.1","10.5","3.2","","","","","","","14.3","13.5","5.7","3.6","14.9","8.4","17.2","9.8","118.0"
