game_id,play_id,season,week,posteam,defteam,play_type,epa,source_posteam,source_defteam,snapshot_id
2025_04_BAL_KC,1681.0,2025,4,BAL,KC,pass,-2.770144627254922,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1704.0,2025,4,KC,BAL,pass,-0.42929263290716335,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1734.0,2025,4,KC,BAL,pass,1.483811131445691,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1759.0,2025,4,KC,BAL,pass,-0.007851319445762783,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1791.0,2025,4,KC,BAL,pass,-0.4805212903302163,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1821.0,2025,4,KC,BAL,pass,1.6619698573485948,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1854.0,2025,4,,,no_play,0.0,,,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1861.0,2025,4,KC,BAL,pass,1.9246450475184247,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1893.0,2025,4,KC,BAL,extra_point,0.06757300310763314,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1908.0,2025,4,BAL,KC,kickoff,0.4720591292716563,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1932.0,2025,4,BAL,KC,run,-0.14977310958784074,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1959.0,2025,4,BAL,KC,pass,0.46152327593881637,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,1989.0,2025,4,BAL,KC,pass,-3.9914898179122247,BAL,KC,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2051.0,2025,4,KC,BAL,pass,0.454459831234999,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2088.0,2025,4,KC,BAL,pass,-0.30883666657609865,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2128.0,2025,4,KC,BAL,run,0.028535084624309093,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2163.0,2025,4,,,no_play,0.0,,,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2151.0,2025,4,KC,BAL,pass,-0.7649503917200491,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2177.0,2025,4,,,no_play,0.0,,,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2185.0,2025,4,KC,BAL,pass,0.07029029703699052,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2215.0,2025,4,KC,BAL,pass,-0.826584825655003,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
2025_04_BAL_KC,2238.0,2025,4,KC,BAL,field_goal,-2.2001639187666355,KC,BAL,archive:asset:299770475:sha256:0b04ffcee75f07c5a1cec292d7b485ec3222bbbcb65f7d5866fcd81b802b9d9b:week:4
